Durchgang;Bubblesort Zeit;Insertionsort Zeit;Mergesort Zeit;Quicksort Zeit;Selectionsort Zeit;Simplesort Zeit;
184;0,10059;0,031622;0,029214;0,021081;0,053608;0,110228;
185;0,102698;0,032225;0,029515;0,021985;0,054511;0,112034;
186;0,100891;0,032526;0,028912;0,022287;0,054812;0,108722;
187;0,098783;0,034635;0,030418;0,022888;0,05662;0,115648;
188;0,105108;0,032526;0,029816;0,02319;0,057222;0,117154;
189;0,106011;0,03343;0,029213;0,023792;0,057222;0,117757;
190;0,103301;0,037043;0,030719;0,022287;0,056318;0,119564;
191;0,105107;0,042465;0,030719;0,023491;0,05662;0,1289;
192;0,112335;0,032225;0,030117;0,023792;0,05692;0,10812;
193;0,108119;0,031924;0,030116;0,023492;0,058426;0,11354;
194;0,109023;0,034333;0,030117;0,022588;0,059631;0,133719;
195;0,109926;0,034936;0,030418;0,022889;0,059631;0,129502;
196;0,109023;0,034634;0,031021;0,02319;0,05933;0,118058;
197;0,114143;0,037345;0,031622;0,022889;0,060535;0,129803;
198;0,110228;0,03614;0,032827;0,024696;0,061438;0,129502;
199;0,046982;0,014758;0,013853;0,009938;0,024997;0,053006;
200;0,116251;0,036743;0,031622;0,024696;0,060233;0,126189;
201;0,116251;0,03855;0,031321;0,025599;0,064149;0,142452;
202;0,116251;0,038248;0,032527;0,024695;0,063848;0,130707;
203;0,117456;0,034032;0,032526;0,024093;0,062643;0,13402;
204;0,118962;0,037646;0,032827;0,026503;0,067461;0,143055;
205;0,124081;0,036442;0,032827;0,024394;0,065353;0,129201;
206;0,119262;0,041561;0,033129;0,025298;0,065353;0,141549;
207;0,124382;0,03885;0,034032;0,024997;0,065354;0,149078;
208;0,123178;0,04126;0,033429;0,024395;0,069269;0,133116;
209;0,123479;0,040657;0,032527;0,023792;0,067763;0,141549;
210;0,124081;0,03855;0,034935;0,024997;0,066859;0,137633;
211;0,124081;0,041863;0,034032;0,026201;0,068064;0,138236;
212;0,129201;0,043067;0,034333;0,024695;0,069871;0,150583;
213;0,127394;0,040959;0,035237;0,027105;0,071376;0,145765;
214;0,132213;0,043368;0,084327;0,026804;0,070172;0,144862;
215;0,132212;0,04126;0,03343;0,027105;0,069871;0,135224;
216;0,132213;0,041862;0,034333;0,025901;0,070774;0,15721;
217;0,132815;0,042766;0,035537;0,026503;0,070473;0,141248;
218;0,133116;0,045175;0,035237;0,028912;0,073184;0,156608;
219;0,135826;0,044874;0,034936;0,026804;0,072581;0,154198;
220;0,136128;0,050897;0,035236;0,027406;0,07198;0,138235;
221;0,138236;0,042164;0,036441;0,027406;0,072883;0,142753;
222;0,142452;0,047585;0,03614;0,026804;0,074388;0,152993;
223;0,13944;0,045476;0,036441;0,026503;0,075292;0,14697;
224;0,14185;0,045476;0,037044;0,026201;0,074991;0,164739;
225;0,140947;0,046379;0,035839;0,026201;0,076497;0,165341;
